Publication Title,start date,end date,coverage notes,publication type
Reviewer Reviewed the Second Part,1705-05-19,1705-05-19,"Pamphlet; London, England",
Reviewer Reviewed the Third and Last Part,1705-06-02,1705-06-02,"Pamphlet; London, England",
Rhapsody,1712-02-12,1712-02-12,"Serial; London, England",serial
Rivington's New York Gazetteer or The Connecticut New Jersey Hudson's River and Quebec Weekly Advertiser,1774-05-12,1775-11-09,"Newspaper; New York, United States",serial
Robin's Last Shift,1716-02-18,1716-04-14,"Newspaper; London, England",serial
Rome Sous Les Armes,1713-01-01,1713-01-01,"Pamphlet; London, England",
Royal Diurnall,1648-07-25,1648-07-25,"Newsbook; London, England",serial
Royal Westminster Journal and London Political Miscellany,1762-11-06,1763-03-26,"Newspaper; London, England",serial
Safe Arrivall of Christian Duke of Brunswick Unto the King of Bohemia,1622-07-01,1622-07-31,"Newsbook; London, England",serial
Salisbury and Winchester Journal and General Advertiser,1796-11-14,1796-11-14,"Newspaper; Salisbury, England",serial
Salisbury Journal or Weekly Advertiser,1744-04-10,1745-03-19,"Newspaper; Salisbury, England",serial
Sarah Farley's Bristol Journal,1793-08-03,1793-08-03,"Newspaper; Bristol, England",serial
Saturday's Post,1716-10-06,1716-10-06,"Newspaper; London, England",serial
Scheme for Raising 1500000 L. upon Talleys,1711-01-01,1711-12-31,"Broadside; London, England",serial
Schofield's Middlewich Journal or Cheshire Advertiser,1756-10-05,1757-05-17,"Newspaper; Middlewich, England",serial
Schofield's Middlewich Journal or General Advertiser,1756-08-03,1756-09-21,"Newspaper; Middlewich, England",serial
Scotch Mercury,1643-10-05,1643-10-05,"Newsbook; London, England",serial
Scotchman,1772-01-21,1772-05-23,"Serial; London, England",serial
Scotish Dove,1643-10-13,1646-09-23,"Newsbook; London, England",serial
Scottish Mercury Relating the Weekly Intelligence from Scotland and the Court,1643-10-13,1643-10-19,"Newsbook; London, England",serial
Scourge (1717),1717-01-01,1717-11-25,"Serial; London, England",serial
Scourge (1717: Reprint),1717-02-04,1717-04-29,"Serial; London, England",serial
Scourge (1771),1771-01-23,1771-01-23,"Serial; London, England",serial
Scrutator,1764-04-05,1764-04-12,"Serial; London, England",serial
Seasonable Considerations on the Present War in Scotland,1746-01-08,1746-01-08,"Pamphlet; London, England",
Seasonable Writer,1727-09-15,1727-09-15,"Serial; London, England",serial
Second Narrative of the Signal Victory,1665-06-03,1665-06-03,"Pamphlet; London, England",
Serious Call to the Corporation of London,1740-12-31,1740-12-31,"Broadside; London, England",serial
Several Presentments Made by the Grand Juries,1728-11-28,1728-11-28,"Broadside; London, England",serial
Several Proceedings of Parliament (1653),1653-07-04,1653-12-06,"Newsbook; London, England",serial
Severall Proceedings in Parliament (1649),1649-09-25,1653-04-14,"Newsbook; London, England",serial
Severall Proceedings of State Affaires,1653-04-28,1655-02-15,"Newsbook; London, England",serial
Shift Shifted,1716-05-05,1716-09-08,"Newspaper; London, England",serial
Shift's Last Shift or Weekly Journal,1717-02-16,1717-02-16,"Newspaper; London, England",serial
Short View of the Long Life and Raingne of Henry the Third,1627-01-01,1627-12-31,"Pamphlet; London, England",
Sir Arthur Haselrigg His Speech in Parliament,1641-02-21,1641-02-21,"Pamphlet; London, England",
Sir Benjamin Rudyerds Speech,1641-01-01,1641-12-31,"Pamphlet; London, England",
Sir Francis Seymor His Honourable and Worthy Speech,1641-07-17,1641-07-17,"Pamphlet; London, England",
Sir John Eliot His Grave and Learned Speech,1641-07-17,1641-07-17,"Pamphlet; London, England",
Sir John Holland His Speech,1641-07-17,1641-07-17,"Pamphlet; London, England",
Sir Thomas Fairfaxes Taking of Dennis Castle and Felford Haven,1646-03-26,1646-03-26,"Pamphlet; London, England",
Sir William Parkins Speech,1641-07-05,1641-07-05,"Pamphlet; London, England",
Smith's Currant Intelligence,1680-03-13,1680-05-01,"Newspaper; London, England",serial
Smith's Protestant Intelligence Domestick and Foreign,1681-02-01,1681-04-11,"Newspaper; London, England",serial
Sober Yet Jocular Answer to Heraclitus Ridens,1681-01-07,1681-01-07,"Broadside; London, England",serial
Society (1752),1752-01-01,1752-12-31,"Broadside; London, England",serial
Some Friendly and Seasonable Advice to Mr Admiral Byng,1753-10-22,1753-10-22,"Broadside; London, England",serial
Some Speciall and Considerable Passages from London,1642-08-09,1642-12-20,"Newsbook; London, England",serial
Some Speciall Passages from London Westminster Yorke Hull Ireland and Other Partes,1642-05-24,1642-06-28,"Newsbook; London, England",serial
South Carolina Gazette,1737-09-10,1737-09-10,"Newspaper; Charleston, United States",serial
South Carolina Gazette and Country Journal,1775-05-09,1775-05-09,"Newspaper; Charleston, United States",serial
Speciall Passages and Certain Informations from Severall Places,1643-01-03,1643-05-16,"Newsbook; London, England",serial
Spectator (1711),1711-03-01,1712-12-06,"Serial; London, England",serial
Spectator (1715),1715-07-22,1715-07-22,"Serial; London, England",serial
Spectator (1716),1716-06-13,1716-06-13,"Serial; London, England",serial
Spectator (1753),1753-11-03,1753-11-17,"Serial; London, England",serial
Speech Delivered at a Conference With the Lords,1641-01-25,1641-01-25,"Pamphlet; London, England",
Speech Delivered in the Starr Chamber,1637-01-01,1637-12-31,"Monograph; London, England",monograph
Speech Made by the Honourable Denzel Hollis,1641-07-17,1641-07-17,"Pamphlet; London, England",
Speech Made to the House of Commons Concerning Episcopacy,1640-02-09,1640-02-09,"Pamphlet; London, England",
Speech of Mr John White,1641-01-01,1641-12-31,"Pamphlet; London, England",
Speech of Sir Dudley Carlton Lord Ambassadour for the King of Great Britaine,1617-10-06,1617-10-06,"Pamphlet; London, England",
Speech of Sir Peter King Kt,1714-09-20,1714-09-20,"Broadside; London, England",serial
Speech of the Honorable Denzell Hollis,1641-01-01,1641-05-04,"Pamphlet; London, England",
Speech of the Right Honourable John Aislabie Esq,1721-07-19,1721-07-19,"Pamphlet; London, England",
Speech of William Thomas Esquire in Parliament in May 1641,1641-05-01,1641-05-31,"Pamphlet; London, England",
Speech of William Thomas Esquire January 1641,1642-01-01,1642-01-31,"Pamphlet; London, England",
Speech When Master Hide Was in the Chayre,1641-06-11,1641-06-11,"Pamphlet; London, England",
Speeches and Passages of This Great and Happy Parliament,1640-11-03,1640-11-03,"Monograph; London, England",monograph
Speeches of the Lord Digby,1641-01-19,1641-01-19,"Pamphlet; London, England",
Spendthrift,1766-03-29,1766-08-09,"Serial; London, England",serial
Spie Communicating Intelligence from Oxford,1644-01-23,1644-06-20,"Newsbook; London, England",serial
Sr Anthonie St Leger His Letter from Aboard the Downes,1648-01-01,1648-12-31,"Pamphlet; London, England",
Sr Henry Vane His Speech in the House of Commons,1641-06-11,1641-06-11,"Pamphlet; London, England",
St. James's Chronicle or the British Evening Post,1761-04-18,1800-12-27,"Newspaper; London, England",serial
St. James's Evening Post,1715-07-23,1751-10-19,"Newspaper; London, England",serial
St. James's Journal,1722-05-03,1723-05-18,"Serial; London, England",serial
St. James's Post,1715-02-11,1722-03-02,"Newspaper; London, England",serial
Staffetta Italiana or The Italian Post,1729-01-02,1729-01-30,"Newspaper; London, England",serial
Stamford Mercury,1728-01-04,1728-12-26,"Newspaper; Stamford, England",serial
Star and Evening Advertiser (1788),1788-05-03,1800-12-31,"Newspaper; London, England; coverage from 03/05/1788-05/12/1788 and 06/12/1788-31/12/1800",serial
Stewards for the Feast of the Sons of the Clergy,1778-01-01,1778-12-31,"Broadside; London, England",serial
Stuart's Star and Evening Advertiser,1789-02-23,1789-04-25,"Newspaper; London, England",serial
Sufferings and Services of Captain Tobias Knowles,1649-01-01,1649-12-31,"Broadside; London, England",serial
Summary Narration of the Signal Victory,1665-06-03,1665-06-03,"Pamphlet; London, England",
Summe and Substance of the Conference,1604-01-14,1604-01-14,"Monograph; London, England",monograph
Sun (1793-1800),1793-01-05,1800-12-31,"Newspaper; London, England",serial
Sunday Chronicle,1787-09-23,1790-06-20,"Newspaper; London, England",serial
Sunday Reformer,1795-08-09,1799-08-04,"Newspaper; London, England",serial
Sunday Reformer and Universal Register,1793-06-23,1795-03-22,"Newspaper; London, England",serial
Supplement (1708-1711),1708-02-09,1711-06-22,"Newspaper; London, England",serial
Supplement to the Advice from the Scandal Club,1704-12-01,1704-12-01,"Serial; London, England",serial
Supplementary Journal to the Advice from the Scandal Club,1704-09-01,1704-09-30,"Serial; London, England",serial
Surprisall of Two Imperial Townes by Count Mansfield,1622-07-19,1622-07-19,"Newsbook; London, England",serial
Sussex Weekly Advertiser or Lewes Journal,1797-07-03,1797-07-17,"Newspaper; Lewes, England",serial
Swinney's Birmingham & Stafford Chronicle and Coventry Gazette,1791-07-21,1791-07-21,"Newspaper; Birmingham, England",serial
Tatler (1709),1710-01-03,1710-12-30,"Serial; London, England",serial
Tatler (1711: Baldwin),1711-01-13,1711-01-13,"Serial; London, England",serial
Tatler (1711: Morphew),1711-01-02,1711-05-17,"Serial; London, England",serial
Tatler (1753),1753-12-20,1754-01-03,"Serial; London, England",serial
Tea-Table,1724-02-21,1724-04-27,"Serial; London, England",serial
Telegraph (1794-1797),1794-12-30,1797-03-18,"Newspaper; London, England",serial
Terrae Filius (15 March 1764),1764-03-15,1764-03-29,"Serial; London, England",serial
Terrae Filius (16 March 1764),1764-03-16,1764-04-06,"Serial; London, England",serial
Terrae Filius (1721),1721-04-22,1721-04-22,"Serial; London, England",serial
Terrae Filius Extraordinary,1764-03-27,1764-03-27,"Pamphlet; London, England",
Test (1756-1757),1756-11-06,1757-07-09,"Serial; London, England",serial
"The Continuation of Our Late Extraordinarie Private Avisoes, 1628",1628-04-21,1628-04-21,"Newsbook; London, England",serial
The Observer,1791-12-04,1800-12-28,"Newspaper; London, England",serial
Theatre (1720),1720-01-02,1720-04-02,"Serial; London, England",serial
Theatrical Monitor or Stage Management and Green Room Laid Open,1767-10-24,1768-04-16,"Serial; London, England",serial
Three Royal Cedars or Great Brittains Glorious Diamonds,1660-01-01,1660-12-31,"Pamphlet; London, England",
Times (1788-1800),1788-04-16,1800-12-31,"Newspaper; London, England",serial
Times or Daily Universal Register,1788-01-18,1788-03-17,"Newspaper; London, England",serial
To the Freeholders of England in General and Those of the County of Middlesex in Particular,1763-11-12,1763-11-12,"Broadside; London, England",serial
To the Gentlemen Clergy and Freeholders of the County of Middlesex,1769-04-15,1769-04-15,"Broadside; London, England",serial
To the Highest and Honourablest Court of Justice in This Nation,1648-01-01,1648-12-31,"Broadside; London, England",serial
To the Kings Most Excellent Majestie the Humble Petition of the Countie of Cornvvall,1642-06-26,1642-06-26,"Broadside; London, England",serial
To the Kings Most Excellent Majesty the Humble Petition of the Lords and Commons,1642-02-18,1642-02-18,"Broadside; London, England",serial
To the Right Honourable the Lords Spiritual and Temporal in Parliament Assembled,1740-12-31,1740-12-31,"Broadside; London, England",serial
To the Worthy Livery of the City of London,1781-01-01,1781-12-31,"Broadside; London, England",serial
Tomahawk Or Censor General,1795-10-27,1796-03-07,"Serial; London, England",serial
Traiteur,1780-11-18,1781-03-31,"Serial; London, England",serial
Tres Humble Adresse Presentee a la Reine,1713-01-01,1713-12-31,"Pamphlet; London, England",
True and Ample Relation of All Such Occurrences As Have Happened in the Palatinate,1622-06-13,1622-06-13,"Pamphlet; London, England",
True and Briefe Relation of the Great Victory Obtained by Sir Ralph Hopton,1643-01-15,1643-01-19,"Pamphlet; Oxford, England",
True Briton (1723),1723-06-03,1724-02-17,"Serial; London, England",serial
True Briton (1793),1793-01-05,1800-10-31,"Newspaper; London, England",serial
True Character of Mercurius Aulicus,1645-01-01,1645-12-31,"Pamphlet; London, England",
True Copie of a Letter Sent from the Most Reverend William Lord Archbishop of Canterbury,1641-07-17,1641-07-17,"Pamphlet; Oxford, England",
True Copies of Two Especiall Letters Verbatim Sent from the Palatinate,1622-01-01,1622-12-31,"Newsbook; London, England",serial
True Copy of the Latine Oration of the Excellent Lord George Ossolinski,1621-03-11,1621-03-11,"Pamphlet; London, England",
True Copy of the Quaker's Petition,1711-02-09,1711-02-09,"Broadside; London, England",serial
True Diurnal Occurrences or Proceedings in the Parliament This Last Weeke,1641-01-24,1641-01-24,"Newsbook; London, England",serial
True Diurnall of the Last Weeks Passages in Parliament,1642-01-10,1642-01-10,"Newsbook; London, England",serial
True Domestick Intelligence or News Both from City and Country,1679-09-09,1680-05-11,"Newspaper; London, England",serial
True Informer,1643-10-21,1644-12-28,"Newsbook; London, England",serial
True Intelligence from the Head-Quarters,1650-07-23,1650-07-23,"Newsbook; London, England",serial
True Journall of the Sally Fleet,1637-01-01,1637-12-31,"Pamphlet; London, England",
True News or Mercurius Anglicus,1679-12-24,1680-05-12,"Newspaper; London, England",serial
True Patriot: and History of Our Own Times,1745-11-05,1746-06-03,"Serial; London, England",serial
True Protestant (Domestick) Intelligence Or News Both from City and Country,1680-04-23,1680-05-14,"Newspaper; London, England",serial
True Protestant Mercury or Occurrences Foreign and Domestick (1681: Janeway),1681-04-27,1681-05-05,"Newspaper; London, England",serial
True Protestant Mercury or Occurrences Forein and Domestick (1680: Curtiss),1680-12-28,1682-10-21,"Newspaper; London, England",serial
True Relation of a Second Victorie,1650-10-25,1650-10-25,"Pamphlet; London, England",
True Relation of All Such Battailes As Have Been Fought in the Palatinate,1622-05-24,1622-05-24,"Newsbook; London, England",serial
True Relation of That Which Lately Hapned to the Great Spanish Fleet,1623-01-01,1623-12-31,"Pamphlet; London, England",
Tryal of Rowland Waters Etc,1688-06-01,1688-06-01,"Pamphlet; London, England",
Tryals and Condemnation,1663-01-01,1679-07-18,"Pamphlet; London, England",
Tuner,1769-12-09,1769-12-09,"Serial; London, England",serial
Two Genuine Private Letters from the Army in Flanders,1745-01-01,1745-12-31,"Pamphlet; London, England",
Two Knaves for a Penny,1647-10-21,1647-10-21,"Pamphlet; London, England",
Two Speeches Made by Sr Thomas Wentworth,1641-01-01,1641-12-31,"Pamphlet; London, England",
Two Speeches Spoken in the House of the Lords,1641-05-21,1641-05-21,"Pamphlet; London, England",
Tyburns Groans or An Hue and Cry After a Polish Renegado,1649-01-01,1649-12-31,"Broadside; London, England",serial
Ungirding of the Scottish Armour,1639-01-01,1639-12-31,"Monograph; London, England",monograph
Unhappy View of the Whole Behaviour of My Lord Duke of Buckingham,1648-01-01,1648-12-31,"Pamphlet; London, England",
Universal Chronicle and Westminster Journal,1759-12-29,1760-03-29,"Newspaper; London, England",serial
Universal Chronicle or Weekly Gazette,1758-04-08,1759-12-22,"Serial; London, England",serial
Universal Intelligence,1688-12-11,1689-02-13,"Newspaper; London, England",serial
Universal Journal,1723-12-11,1724-08-29,"Serial; London, England",serial
Universal London Morning Advertiser,1743-05-23,1744-01-04,"Newspaper; London, England",serial
Universal London Price Current,1787-06-26,1789-08-25,"Newspaper; London, England",serial
Universal Spectator and Weekly Journal,1728-10-12,1746-02-22,"Serial; London, England",serial
Universal Weekly Journal,1739-05-05,1739-09-08,"Newspaper; London, England",serial
Unto the Queen's Most Excellent Majesty the Humble Address and Representation of the Commission of the General Assembly,1712-03-05,1712-03-05,"Broadside; London, England",serial
Useful Intelligencer for Promoting Trade,1711-07-06,1712-01-08,"Newspaper; London, England",serial
View of the Times Their Principles and Practices,1704-08-02,1709-03-26,"Serial; London, England",serial
Virginia Gazette,1737-08-12,1737-08-12,"Newspaper; Williamsburg, United States",serial
Visitor (1723-1724),1723-06-18,1724-01-31,"Serial; London, England",serial
Votes of the House of Commons (1711-1712),1712-01-17,1712-02-05,"Pamphlet; London, England",
Votes of the House of Commons (1722-1723),1722-01-01,1748-12-31,"Pamphlet; London, England",
Votes of the House of Commons (1734),1734-02-13,1734-02-13,"Broadside; London, England",serial
Votes of the House of Commons (1743-1744),1744-01-01,1744-12-31,"Broadside; London, England",serial
Votes of the House of Commons (1760-1761),1760-01-01,1760-12-31,"Pamphlet; London, England",
Votes of the House of Commons (1770-1771),1770-11-14,1770-11-14,"Pamphlet; London, England",
Votes of the House of Commons (1772-1773),1772-01-01,1772-12-31,"Pamphlet; London, England",
Votes of the House of Commons in Ireland,1692-10-05,1692-10-18,"Newspaper; London, England",serial
Weekely Post-Master,1645-04-08,1645-04-08,"Newsbook; London, England",serial
Weekly Abstract (1654),1654-05-27,1654-06-12,"Newsbook; London, England",serial
Weekly Accompt of Certain Special and Remarkable Passages from Both Houses of Parliament,1643-07-27,1643-07-27,"Newsbook; London, England",serial
Weekly Account,1643-08-28,1647-01-06,"Newsbook; London, England",serial
Weekly Comedy (1699),1699-05-10,1699-06-21,"Serial; London, England",serial
Weekly Discoverer,1681-02-16,1681-03-16,"Serial; London, England",serial
Weekly Entertainment,1700-10-24,1700-10-31,"Serial; London, England",serial
Weekly History or An Account Most Remarkable Particulars Relating to the Present Progress of the Gos,1741-04-11,1742-11-13,"Serial; London, England",serial
Weekly Intelligencer of the Common Wealth,1650-10-01,1652-03-30,"Newsbook; London, England",serial
Weekly Jamaica Courant,1718-07-30,1722-09-12,"Newspaper; Kingston , Jamaica",serial
Weekly Journal or British Gazetteer,1715-11-12,1730-08-15,"Newspaper; London, England",serial
Weekly Journal or Saturday's Post,1717-02-09,1725-04-24,"Newspaper; London, England",serial
Weekly Journal With Fresh Advices Foreign and Domestick,1715-01-01,1715-12-31,"Newspaper; London, England",serial
Weekly Medley,1729-08-02,1729-09-13,"Newspaper; London, England",serial
Weekly Medley or the Gentleman's Recreation,1719-11-14,1720-01-16,"Serial; London, England",serial
Weekly Memorial or Political Observations on Englands Benefits By the Vvar with France,1692-01-13,1692-01-20,"Serial; London, England",serial
Weekly Miscellany,1701-02-15,1741-06-27,"Newspaper; London, England; coverage includes 15/02/1701 and 30/12/1732-27/06/1741 only",serial
Weekly News (Archer Series) - July 2 Num 2 The Continuation of Our Weekly Newes,1628-07-02,1628-07-02,"Newsbook; London, England",serial
Weekly News (Archer Series) - October 11 Number 2 Two Wonderful and Lamentable Accidents Herein Related,1624-01-01,1624-10-11,"Newsbook; London, England",serial
Weekly News (Eighth Series) - Aprill 28 Numb 20 The Continuation of Our Forraine Avisoes,1632-04-28,1632-04-28,"Newsbook; London, England",serial
Weekly News (Eighth Series) - June 23 Numb 29 The Continuation of Our Forraine Avisoes,1632-06-23,1632-06-23,"Newsbook; London, England",serial
Weekly News (Eighth Series) - June 6 Numb 26 The Continuation of Our Forraine Avisoes,1632-06-06,1632-06-06,"Newsbook; London, England",serial
Weekly News (Eighth Series) - October 3 Numb 48 The Continuation of Our Forraine Avisoes,1632-10-03,1632-10-03,"Newsbook; London, England",serial
Weekly News (Eighth Series) - September 1 Numb 42 The Continuation of Our Weekely Avisoes,1632-09-01,1632-09-01,"Newsbook; London, England",serial
Weekly News (Fifth Series) - Aug 17 Num 29 The Continuation of Our Weekely Newes,1627-08-17,1627-08-17,"Newsbook; London, England",serial
Weekly News (Fifth Series) - June 10 Num 49 The Continuation of Our Weekely Newes,1628-06-10,1628-06-10,"Newsbook; London, England",serial
Weekly News (Fifth Series) - June 19 Num 50 The Continuation of Our Weekely Newes,1629-06-19,1629-06-19,"Newsbook; London, England",serial
Weekly News (Fifth Series) - Novemb 7 Numb 41 The Continuation of Our Weekly Newes,1627-11-07,1627-11-07,"Newsbook; London, England",serial
Weekly News (Fifth Series) - October 17 Numb 38 The Continuation of Our Weekly Newes,1627-10-17,1627-10-17,"Newsbook; London, England",serial
Weekly News (Fifth Series) - October 24 Numb 39 The Continuation of Our Weekly Newes,1627-10-24,1627-10-24,"Newsbook; London, England",serial
Weekly News (Fifth Series) - October 4 Numb 36 The Continuation of Our Weekly Newes,1627-06-19,1627-08-10,"Newsbook; London, England",serial
Weekly News (First Series) - April 21 Numb 27 The Continuation of Our Weekely Newes,1623-04-21,1623-04-21,"Newsbook; London, England",serial
Weekly News (First Series) - Aprill 17 Numb 26 The Continuation of Our Former Newes,1623-04-17,1623-04-17,"Newsbook; London, England",serial
Weekly News (First Series) - Aprill 24 Numb 28 The Continuation of Our Former Newes,1623-04-24,1623-04-24,"Newsbook; London, England",serial
Weekly News (First Series) - Aprill 8 1623 Numb 25 A Relation of the Last Newes,1623-04-08,1623-04-08,"Newsbook; London, England",serial
Weekly News (First Series) - Aug 27 Numb 45 More Newes For This Present Weeke,1623-08-27,1623-08-27,"Newsbook; London, England",serial
Weekly News (First Series) - August 21 Numb 44 Our Last Weekly Newes,1623-08-21,1623-08-21,"Newsbook; London, England",serial
Weekly News (First Series) - August 29 Numb 46 More Newes from Europe,1623-08-29,1623-08-29,"Newsbook; London, England",serial
Weekly News (First Series) - February 19 Numb 19 A Relation of the Late Horrible Treason Intended,1623-02-19,1623-02-19,"Newsbook; London, England",serial
Weekly News (First Series) - February 28 Numb 20 The Newes of Forraine Partes,1623-02-28,1623-02-28,"Newsbook; London, England",serial
Weekly News (First Series) - February the 11 Numb 18 Weekely Newes,1623-02-11,1623-02-13,"Newsbook; London, England",serial
Weekly News (First Series) - January the 20 Numb 14 Weekely Newes,1623-01-20,1623-01-20,"Newsbook; London, England",serial
Weekly News (First Series) - January the 28 Numb 15 Weekely Newes,1623-01-28,1623-01-28,"Newsbook; London, England",serial
Weekly News (First Series) - January the 31 Numb 16 Weekely Newes,1623-01-31,1623-01-31,"Newsbook; London, England",serial
Weekly News (First Series) - July 10 1623 Numb 39 The Last Newes Continued,1623-07-10,1623-07-10,"Newsbook; London, England",serial
Weekly News (First Series) - July 18 Numb 40 The Weekely Newes Continued,1623-07-18,1623-07-18,"Newsbook; London, England",serial
Weekly News (First Series) - July 4 Numb 38 The Relation of Our Last Newes,1623-07-04,1623-07-04,"Newsbook; London, England",serial
Weekly News (First Series) - June 10 Numb 35 More Newes of the Affaires of the World,1623-06-10,1623-06-10,"Newsbook; London, England",serial
Weekly News (First Series) - June 16 Numb 36 The Affaires of the World for This Present Weeke,1623-06-16,1623-06-16,"Newsbook; London, England",serial
Weekly News (First Series) - March 14 1623 Numb 23 Weekly Newes,1623-02-04,1623-03-14,"Newsbook; London, England",serial
Weekly News (First Series) - March 31 1623 Numb 24 Weekly Newes from Forraine Parts,1623-02-20,1623-03-31,"Newsbook; London, England",serial
Weekly News (First Series) - March 7 1623 Numb 22 The Sentence and Execution Done,1623-02-09,1623-03-07,"Newsbook; London, England",serial
Weekly News (First Series) - May 12 Numb 31 The Newes of This Present Weeke,1623-05-12,1623-05-12,"Newsbook; London, England",serial
Weekly News (First Series) - May 17 Numb 32 The Last Newes Relating These Particulars,1623-05-17,1623-05-17,"Newsbook; London, England",serial
Weekly News (First Series) - May 2 Numb 29 The Continuation of Our Weekly Newes,1623-05-02,1623-05-02,"Newsbook; London, England",serial
Weekly News (First Series) - May 26 1623 Numb 33 A Relation of Count Mansfeilds Last Proceedings,1623-05-26,1623-05-26,"Newsbook; London, England",serial
Weekly News (First Series) - May 30 Number 34 The Last Newes Containing the Arrivall of Bethlem Gabor,1623-05-30,1623-05-30,"Newsbook; London, England",serial
Weekly News (First Series) - May 7 1623 Numb 30 A Relation of the Duke of Brunswicks March,1623-05-07,1623-05-07,"Newsbook; London, England",serial
Weekly News (First Series) - Novemb 16 1622 Numb 7 A Continuation of the Newes of This Present Weeke,1622-11-16,1622-11-16,"Newsbook; London, England",serial
Weekly News (First Series) - Novemb 21 1622 Numb 8 The Continuation of the Former Newes,1622-11-21,1622-11-21,"Newsbook; London, England",serial
Weekly News (First Series) - Novemb 28 Numb 9 Briefe Abstracts out of Diverse Letters of Trust,1622-10-18,1622-11-28,"Newsbook; London, England",serial
Weekly News (First Series) - November 5 1622 Numb 5 A Continuation of the Newes of This Present Weeke,1622-11-05,1622-11-05,"Newsbook; London, England",serial
Weekly News (First Series) - October 15 1622 A Relation of the Late Occurrents Which Have Happened in Christendome,1622-09-27,1622-10-15,"Newsbook; London, England",serial
Weekly News (First Series) - October 15 1622 No 2 A Continuation of the Affaires of the Low Countries,1622-10-15,1622-10-15,"Newsbook; London, England",serial
Weekly News (First Series) - October 2 Number 50 Our Last Newes Containing a Relation of the Last Proceedings,1623-10-02,1623-10-02,"Newsbook; London, England",serial
Weekly News (First Series) - October 30 1622 No 4 A Continuation of the Weekly Newes from Bohemia,1622-10-30,1622-10-30,"Newsbook; London, England",serial
Weekly News (First Series) - September 12 Numb 47 Our Last Weekly Newes,1623-09-12,1623-09-12,"Newsbook; London, England",serial
Weekly News (First Series) - September 17 Numb 48 Weekely Newes,1623-09-17,1623-09-17,"Newsbook; London, England",serial
Weekly News (First Series) - September 24 Number 49 More Newes for This Present Weeke,1623-09-24,1624-09-24,"Newsbook; London, England",serial
Weekly News (First Series) - September 5 Numb 46 Our Last Weekely Newes,1623-09-05,1623-09-05,"Newsbook; London, England",serial
Weekly News (Fourth Series) - August 29 Numb 27 the Continuation of Our Weekely Newes,1626-08-29,1626-08-29,"Newsbook; London, England",serial
Weekly News (Second Series - April 7 Numb 20 Extraordinary Newes,1624-04-07,1624-04-07,"Newsbook; London, England",serial
Weekly News (Second Series) - Aprill 20 Numero 21 The Newes of Europe,1624-04-20,1624-04-20,"Newsbook; London, England",serial
Weekly News (Second Series) - Decemb 11 Numb 6 First from Constantinople,1623-12-11,1623-12-11,"Newsbook; London, England",serial
Weekly News (Second Series) - Decemb 13 Number 7 Weekely Newes,1623-12-13,1623-12-13,"Newsbook; London, England",serial
Weekly News (Second Series) - Decemb 4 Numb 43 The Continuation of Our Weekly Newes,1624-12-04,1624-12-04,"Newsbook; London, England",serial
Weekly News (Second Series) - February 24 Number 14 The Affaires and Generall Businesse of Europe More Particularly,1624-02-24,1624-02-24,"Newsbook; London, England",serial
Weekly News (Second Series) - January 15 Number 10 The Newes and Affaires of Evrope,1624-01-15,1624-01-15,"Newsbook; London, England",serial
Weekly News (Second Series) - January 7 Number 9 The Newes and Affaires of Europe,1624-01-07,1624-01-07,"Newsbook; London, England",serial
Weekly News (Second Series) - July 3 Numb 30 Late Newes or True Relations,1624-07-02,1624-07-03,"Newsbook; London, England",serial
Weekly News (Second Series) - March 19 Numero 18 Newes from Europe,1624-03-19,1624-03-19,"Newsbook; London, England",serial
Weekly News (Second Series) - March 6 Numero 16 The Newes and Affaires of Europe More Particularly,1624-03-05,1624-03-06,"Newsbook; London, England",serial
Weekly News (Second Series) - May 12 Num 24 A True Relation of the Newes of This Present Weeke,1624-05-12,1624-05-12,"Newsbook; London, England",serial
Weekly News (Second Series) - Novemb 15 Numb 41 The Continuation of Our Weekly Newes,1624-11-15,1624-11-15,"Newsbook; London, England",serial
Weekly News (Second Series) - Novemb 20 Numb 4 The Affaires of Italy,1623-11-20,1623-11-20,"Newsbook; London, England",serial
Weekly News (Second Series) - November 11 Number 3 The Wonderfull Resignation of Mustapha,1623-11-11,1623-11-11,"Newsbook; London, England",serial
Weekly News (Second Series) - October 11 Number 1 Our Last Weekely Newes,1623-10-11,1623-10-11,"Newsbook; London, England",serial
Weekly News (Second Series) - October 28 Number 2 A Most True Relation,1623-10-28,1623-10-28,"Newsbook; London, England",serial
Weekly News (Second Series) - October 5 Numb 36 The Continuation of the Weekly Newes,1624-10-05,1624-10-05,"Newsbook; London, England",serial
Weekly News (Second Series) - Septemb 11 Numb 32 Continuation of the Weekly Newes,1624-09-11,1624-09-11,"Newsbook; London, England",serial
Weekly News (Second Series) - Septemb 9 Numb 32 Extraordinary Newes,1624-09-09,1624-09-10,"Newsbook; London, England",serial
Weekly News (Second Series) - September 16 Number 33 The Continuation of the Weekly Newes,1624-09-16,1624-09-16,"Newsbook; London, England",serial
Weekly News (Seventh Series) - Aprill 18 Numb 25 The Continuation of Our Weekly Avisoes from Forraine Parts,1631-04-18,1631-04-18,"Newsbook; London, England",serial
Weekly News (Seventh Series) - Aprill 21 Numb [Blank] The Continuation of the Weekely Newes,1630-04-21,1630-04-21,"Newsbook; London, England",serial
Weekly News (Seventh Series) - July 16 Numb 9 The Continuation of the Most Remarkable Occurrences of Newes,1630-07-16,1630-07-16,"Newsbook; London, England",serial
